,Views,Likes,Dislikes,class,LDA Feature,Bert Feature,LSA Feature
0,42724724,2005151,24646,1,0,1,1
1,6890718,15222,2858,1,0,1,1
2,2089601,46750,1954,1,1,1,1
3,518170,4033,271,1,0,1,1
4,9244943,64025,6508,1,0,1,1
5,8380807,48083,5299,1,0,1,1
6,182683,18504,96,1,0,1,1
7,1142293,41508,1018,1,0,1,1
8,735215,40928,433,1,0,1,1
9,266809,14531,425,1,0,1,1
10,1113339,18997,1040,1,0,1,1
11,5445997,41468,4664,1,0,1,1
12,43680379,1297208,40894,1,0,1,1
13,15114182,375282,7265,1,1,1,1
14,21445488,1729921,11463,1,0,1,1
15,7969526,121749,4372,1,0,1,1
16,916206,76981,3483,1,0,1,1
17,486012,30544,2121,1,0,1,1
18,1291272,105966,5737,1,0,0,1
19,1297863,39839,13426,1,0,1,1
20,1379942,33915,12112,1,0,1,1
21,1194409,27744,9215,1,0,1,1
22,2278256,64388,27456,1,0,1,1
23,3078852,69213,24556,1,0,1,1
24,22797,1771,107,1,1,1,1
25,61335,4655,281,1,0,1,1
26,69836,5045,367,1,0,1,1
27,197718,15177,512,1,0,1,1
28,3150,57,15,1,0,1,1
29,37139,2053,77,1,0,1,1
30,2676436,130599,57359,1,0,1,1
31,74582082,190940,74610,1,0,1,1
32,45945087,135239,47545,1,0,1,1
33,26207226,87841,28156,1,0,1,1
34,14313990,120202,40688,1,0,1,1
35,29804390,2323366,280267,1,0,1,1
36,24392403,475493,17757,1,0,1,1
37,16374862,403932,37284,1,0,1,1
38,13084890,283248,147853,1,0,1,1
39,10127363,295887,88234,1,0,1,1
40,37521,1031,54,1,1,1,1
41,5615425,174009,5316,1,1,1,1
42,96489384,551412,106011,1,0,1,1
43,5843805,118207,4748,1,0,1,1
44,118780,4535,199,1,0,1,1
45,297823,9916,327,1,0,0,1
46,555834,12034,420,1,1,1,1
47,25415525,82641,15552,1,0,1,1
48,5350343,82628,3357,1,0,0,1
49,6163215,137208,34510,1,0,1,1
50,46930,2308,1603,1,0,1,1
51,7356040,250293,18997,1,0,1,1
52,17865,2106,22,1,1,1,1
53,17761147,486781,68060,1,0,1,1
54,16269467,380222,9096,1,0,1,1
55,14056313,100767,4691,1,0,1,1
56,13431007,136547,6835,1,1,0,1
57,17677110,385722,12672,1,0,1,1
58,16537278,142209,5544,1,0,1,1
59,16452463,69490,20947,1,0,1,1
60,12909800,57963,27865,1,0,1,1
61,10539767,41103,3749,1,0,1,1
62,25408065,332176,52082,1,0,1,1
63,2974379,78932,10362,1,0,1,1
64,22085620,875376,264117,1,0,1,1
65,10526949,279653,7741,1,0,1,1
66,6021486,217166,4904,1,0,1,1
67,5183657,390286,10842,1,1,1,1
68,102918727,3438692,62348,1,0,1,1
69,139036071,2730121,68394,1,0,1,1
70,85546693,1649332,41455,1,0,1,1
71,28527480,1912728,14689,0,0,1,1
